Title,Company,Location,Experience,PostDay,Desc
Data Engineer: Data Platforms-Google,IBM,Kolkata,2-5 Yrs,12 Days Ago,"Must have Python and SQL work experience & Proactive, collaborative and ability to resp..."
Data Engineer - Fresher,Factana,Chennai,0-1 Yrs,30+ Days Ago,"Role Responsibilities:     Develop complex SQL database structure, schema and models..."
Engineer - Data Engineering,Altimetrik,Chennai,3-7 Yrs,30+ Days Ago,Altimetrik Corp is looking for Engineer - Data Engineering to join our dynamic team an...
Data Engineer,Crisil,Mumbai,5-8 Yrs,30+ Days Ago,". Bachelors or higher degree in Computer Science, Data Science, or a related field . Ce..."
Data Engineer: Data Platforms,IBM,Hyderabad,4-6 Yrs,14 Days Ago,A career in IBM Consulting is rooted by long-term relationships and close collaboration...
"Data Engineer ( Informatica, Python)",CGI,Hyderabad,5-6 Yrs,17 Days Ago,Data Engineer with relational database experience to join our financial services team ...
Sr. Azure Data Analyst,Fusemachines,Pune,3-7 Yrs,30+ Days Ago,"This is a remote-based, contract position, working in the Healthcare Insurance Indus..."
Job Opening For Lead Data Science @ GlobalData(Hyd),Globaldata,Hybrid - Hyderabad(Kondapur),5-10 Yrs,14 Days Ago,"Hello, Hope you are doing good.Urgent job openings for Lead Data Science role @ Global..."
Regional Data Lead,Avery Dennison,Gurugram,5-8 Yrs,30+ Days Ago,Play a pivotal role in extracting insights from complex data set to support digital...
Regional Data Lead,Avery Dennison,Gurugram,10-15 Yrs,30+ Days Ago,"Bachelor s or postgraduate degree in engineering (computer science / IT preferred), sta..."
Senior Data Analyst EDP DMA,Cloudangle It Solutions,Noida,4-9 Yrs,30+ Days Ago,Shift timings . 11:30AM to 8:30PM IST . Need candidate with experience on story telling...
Senior Data Analyst,Northern Tool,Hyderabad,10-12 Yrs,30+ Days Ago,"Partner with a specific business function, be the Subject matter expert in Data & Ana..."
Data Analytics Squad Lead - Corporate Functions Global IT,Syngenta,Pune,12-15 Yrs,30+ Days Ago,"Experience in AWS Cloud base ETL process, AWS Glue, AWS S3, AWS Redshift, Pyhton with S..."
Azure Data Lead || WFO || Immediate Joiners || Hyderabad,Sunrise Job Consultancy,Hyderabad,5-10 Yrs,13 Days Ago,"exp as a Data Engineer or a similar role. Exp with Azure SQL Server, PostgreSQL Strong ..."
Senior Data Analyst,Sanmax Technologies,Jaipur,8-10 Yrs,30+ Days Ago,"Qualifications . . Bachelors in Computer Science / Engineering, Statistics, Math, Physi..."
Senior Data Analyst,Tekion,Chennai,5-8 Yrs,30+ Days Ago,Extensively work on Analysing source data and develop mapping based on busin...
"Senior Analyst, Data Quality - Global GBS COE",Heinz,Ahmedabad,1-2 Yrs,30+ Days Ago,We have an excellent opportunity available for a Data Quality Analyst to make a diffe...
Senior Data Architect,Sunquest Information Systems,Bengaluru,7-11 Yrs,10 Days Ago,"Essential Functions . Design, develop, and maintain the data architecture of the organi..."
Data Analyst,IT Minds Llc,"Gonda, Chennai",5-10 Yrs,3 Days Ago,Experience in designing and maintaining data models and structures . Ability to create ...
Sr. manager  AVP - Azure Data Architect,One of our esteemed client into analytics,"Noida, Gurugram, Bengaluru",9-14 Yrs,10 Days Ago,"Responsibilities:Databricks Data Pipeline Development: Design, develop, and maintain c..."
SQL Data Analyst,6data,Bengaluru,5-8 Yrs,10 Days Ago,Building visualizations to communicate data to key decision-makers and preferably famil...
Data Analyst,Paramount India Education Consultants,"Hybrid - Pune, Bengaluru",3-7 Yrs,25 Days Ago,"GCB 5 equivalent Efficient in SQL, Python, PySpark Scala – Not mandatory but preferable..."
Data Analyst - Ecommerce,Clean Harbors,Bengaluru(Hebbal),2-5 Yrs,4 Days Ago,"Proficient in Advanced MS Excel (Pivots, calculated fields, Conditional formatting, cha..."
Data analyst,Arabelle Solutions,Noida,6-11 Yrs,4 Days Ago,"Bachelor s in STEM Majors (Science, Technology, Engineering and Math) with overall 6 ye..."
Staff Data Informatics Analyst,Snow Planet,Hyderabad,1-5 Yrs,5 Days Ago,An ideal candidate will have end to end experience in gathering requirements from stake...
Data Analyst - Service (Warranty Claims),Maruti Suzuki,Gurugram,3-6 Yrs,28 Days Ago,Qualification - BTech from a reputed institute (should be AICTE / UGC approved) Work Ex...
Associate Manager - Data Engineer( Java Developer),Eze Software Group,"Mumbai, Navi Mumbai",3-6 Yrs,30+ Days Ago,"Experience working with SQL including complex queries, stored procedures, views, databa..."
DATA Analyst Python SNOW Flake,US MNC CMM 5 CLIENT,Bengaluru,5-10 Yrs,30+ Days Ago,We are looking for DATA ANALYST personnel for MNC PAN INDIA Basis SKILL : Python + Snow...
Procurement Data Analyst,Harsco,Hyderabad,5-7 Yrs,30+ Days Ago,Familiarity with Database and Query reporting tools to prepare and extract data from th...
Data Analyst,Netm Corporate Solutions,"Hyderabad, Bengaluru",2-5 Yrs,30+ Days Ago,Job Title: Data Analyst Experience: 2 to 5 Years Location: Bengaluru Education: any gra...
Data Analyst,Motilal Oswal Financial Services (MOFSL),Mumbai(Prabhadevi),2-6 Yrs,30+ Days Ago,Skills required: . Should have good knowledge of MS-excelShould have good knowledge of ...
Data Analyst - Service,Maruti Suzuki,Gurugram,3-6 Yrs,30+ Days Ago,Openness to learning . Qualification - BTech from a reputed institute (should be AICTE ...
Data Analyst,Varite,Gurugram,5-6 Yrs,3 Days Ago,". 5+ years experience in operations, finance, Pricing or Data Analyst roleExperience in..."
DATA ANALYST For ESG & BRSR,Globetrend Climate Impact,Gurugram,2-3 Yrs,3 Days Ago,"A passion for ESG and a good understanding of the key scientific, regulatory, and marke..."
Data Analyst,Nestasia,Kolkata,1-3 Yrs,3 Days Ago,"Based in Kolkata, candidate will use their passion for big data and analytics to pro..."
Urgent Hiring || Data Analysts || Gurgaon,SIPL,"Noida, Gurugram, Delhi / NCR",6-11 Yrs,2 Days Ago,"Experience with programming languages like Python, Java, and machine learning libraries..."
Data Analyst,VDart Technologies,Tiruchirapalli(Mannarpuram),2-5 Yrs,3 Days Ago,"Shift: US Shift (6 PM 3 AM) . Bachelors degree in a relevant field (e.g., Statistics, M..."
Data Analyst,Shri Dhanlaxmi Generic Medical Store Raipur,Raipur(Janta Colony),2-3 Yrs,4 Days Ago,"Data Collection & Management: Gather and process data from various sources, ensuring da..."
Data Analyst,Comscore Technologies,Pune,1-4 Yrs,5 Days Ago,"Experience with either panel data, internet behavior data, television data, or other re..."
Data Analyst,Hear.Com,Gurugram,3-6 Yrs,5 Days Ago,Minimum of 2 years relevant work experience professional services industry experience a...
Data Analyst,Miba Engineering Center,Pune,3-5 Yrs,5 Days Ago,"Bachelor s Degree in Computer Science, Information Systems, or related field . Efficien..."
Enterprise Data Analyst,ACA Compliance Group,Pune,2-6 Yrs,6 Days Ago,Work directly with internal business stakeholders to drive out requirements and gain al...
"Supervisor, Data Analyst",Stem,Gurugram,3-5 Yrs,6 Days Ago,Technical Skills: Proficient in Microsoft Office Suite and operational management softw...
Data Analyst,Mindful Brainsciences,Chandigarh,2-4 Yrs,7 Days Ago,This is a full time on-site role for an International Data Analyst at Mindful Brain Sci...
Data Analyst,Startupflow India,Jaipur,1-4 Yrs,6 Days Ago,Startupflow India is looking for Data Analyst to join our dynamic team and embark on a ...
Data Analyst and Site Coordinator,M2k Group,Gurugram,3-5 Yrs,7 Days Ago,"Preferred candidate profile  Should have good exposure to Data Analysis, dashboard and ..."
Custom Data Analyst,Kapston Services Limited,Pune,2-5 Yrs,20 Days Ago,Graduate with experience in working with international customers. Fluency in English (b...
Data Analyst,Smith & Nephew,Pune,3-6 Yrs,30+ Days Ago,"Design, develop, and deploy high fidelity operational (awareness of whats happening ..."
Data Analyst - Edge Capabilities,IDFC FIRST Bank,Mumbai,2-5 Yrs,30+ Days Ago,"The Data Analyst role is to identifies business needs, builds analytical tools, develo..."
Data Analyst,Sun Pharma,Mumbai,2-10 Yrs,24 Days Ago,Specific Certification . Skills . SAP / Any Planning tool and Manufacturing operations ...
"Analyst-Data, Planning & Monitoring",IDFC FIRST Bank,Mumbai,5-10 Yrs,30+ Days Ago,"He / She will be building and scaling up digital, analytics and organizational capabili..."
Data Analyst,Fyndbridge Consulting Services,Pune,3-5 Yrs,7 Days Ago,Candidate should know how to clean and prepare data for analysisPreferred candidate pro...
Data Visualisation Analyst,Pulsus Healthtech,Hyderabad,3-5 Yrs,30+ Days Ago,"Experience with visualization software (Tableau, Qlik Sense, Qlikview, djs, QuickSightE..."
Data Loss Prevention Analyst,Dunnhumby,Gurugram,2-5 Yrs,18 Days Ago,Experience within Commercial IT and Analytics or a Technical Consulting companyExperien...
"Developer(Data Bricks, MS Cloud Azure) - Chennai, Bangalore, Pune, Hyd",Mphasis,"Hybrid - Pune, Chennai, Bengaluru",10-12 Yrs,25 Days Ago,"Bachelors degree in Computer Science, Engineering, Information Technology, or related f..."
GN - Tech Strategy & Advisory - Data & Analytics- Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",4-9 Yrs,27 Days Ago,Practice Overview:Skill/Operating GroupTechnology ConsultingLevelConsultantLocationGurg...
S&C Global Network - AI - Hi Tech - Data Science Asso. Manager,Accenture,Bengaluru,7-11 Yrs,30+ Days Ago,Bachelors or masters degree in computer science / MBA in a quant discipline in Data Sci...
S&C Global Network - AI - CG&S - Consultant Data Science,Accenture,Bengaluru,5-10 Yrs,30+ Days Ago,"Youll work with Accentures certified Data & AI practitioners, and Accenture will suppor..."
S&C Global Network - AI - CG&S - Consultant Data Science,Accenture,Gurugram,5-10 Yrs,30+ Days Ago,"Youll work with Accentures certified Data & AI practitioners, and Accenture will suppor..."
Principal Data Architect,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",11-14 Yrs,30+ Days Ago,Essenware Private Limted is looking for Principal Data Architect to join our dynamic te...
Data Specialist,Infineon,Bengaluru,3-5 Yrs,30+ Days Ago,"3-5 years of relevant industry experience in either data engineering, software developm..."
DG Meta Data Developer,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,30+ Days Ago,"Experience in requirements analysis, gap analysis, requirements elicitation, requiremen..."
Data & AI Product Owner,Merck,Bengaluru,4-9 Yrs,19 Days Ago,Prior experience in the pharmaceutical industry and familiarity with GxP regulations is...
Urgent Hiring -GCP Data Architect || 10-12 Years || Wipro,Wipro,"Hybrid - Pune, Gurugram, Bengaluru",9-13 Yrs,20 Days Ago,The ideal candidate will have extensive hands-on experience in building data pipelines ...
Assistant Manager Data Science,Johnson and Johnson Kenvue,Bengaluru,3-6 Yrs,30+ Days Ago,"Required Qualifications . Master s in industrial engineering, Operations Research or Ma..."
Data Modeler,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,30+ Days Ago,"Resource should have strong implementation knowledge of dimensional model, worked on so..."
Data Science Practitioner,Accenture,Bengaluru,7-9 Yrs,24 Days Ago,"Project Role :Data Science PractitionerProject Role Description :Formulating, design an..."
Data Integrator,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,25 Days Ago,"Python Full Stack developer Deployment experience in AWS (Must), Flask (Must), Experien..."
Principal Data Architect,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",11-14 Yrs,30+ Days Ago,Design and develop data architecture solutions.   Collaborate with stakeholders to un...
Data Integrator,Essenware,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,30+ Days Ago,"Python Full Stack developer Deployment experience in AWS (Must), Flask (Must), Experien..."
S&C Global Network - AI - CG&S - Viz Consultant Data Science,Accenture,Gurugram,5-10 Yrs,30+ Days Ago,"Youll work with Accentures certified Data & AI practitioners, and Accenture will suppor..."
Architect - Data Platform,Phonepe,Bengaluru,5-9 Yrs,30+ Days Ago,We are looking for a highly skilled Software Architect with extensive experience in B...
Data Modeler,Accenture,Bengaluru,5-7 Yrs,20 Days Ago,Project Role :Data ModelerProject Role Description :Work with key business representati...
MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,Bengaluru,2-5 Yrs,30+ Days Ago,"Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NL..."
Data Engineer_BI,2coms,Bengaluru,5-10 Yrs,24 Days Ago,"Experience: 5-8 years of experience in data engineering, with a strong focus on Python,..."
Data BA Professional,Capgemini,Bengaluru,4-9 Yrs,28 Days Ago,Big data: Setup state of the art large scale massively parallel processing platforms fo...
S&C Global Network - AI - Resources -  Assoc Director Data Science,Accenture,Bengaluru,12-14 Yrs,30+ Days Ago,"Bachelors / Masters degree in Mathematics, Statistics, Computer Science, Computer Engin..."
Cloud Data Architect,PwC Service Delivery Center,Bengaluru,6-8 Yrs,30+ Days Ago,"PG: Any Postgraduate . Preferred skill sets- ADB, ADF, Glue, Lambda, Data bricks, pytho..."
Junior Data Analyst,LumenData Solutions India Pvt Ltd,Bengaluru,1-3 Yrs,30+ Days Ago,"Knowledge of data structures, algorithms, and computer networking concepts. Internship ..."
Specialist - Data Solutions,Merck,Bengaluru,1-3 Yrs,30+ Days Ago,"Who you are:Education: Bachelors or masters degree in computer science, data science or..."
Data Architect,Capco,Bengaluru,15-20 Yrs,30+ Days Ago,Bachelor or Master degree from reputed university with specialization in numerical disc...
Lead Engineer - Data Operations,Nest Digital,Kochi,8-13 Yrs,20 Days Ago,". Strong experience with GCP services (BigQuery, Dataflow, PubSub, CloudComposer, Dataf..."
Lead (Data Science Engineer),Colruyt It Consultancy India,Hyderabad,10-20 Yrs,30+ Days Ago,Rigorous in the control and stability and reliability of the produced code that must be...
Big Data Engineers and Leads,GSPANN,"Hyderabad, Pune, Gurugram",2-8 Yrs,30+ Days Ago,Prior experience in developing Agile / Scrum applications using JiraMap the transformat...
"AWS data engineer/lead - MNC,PAN india",MNC Group,"Hybrid - Hyderabad, Pune, Chennai, Bengaluru, Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,25 Days Ago,"AWS data engineer/lead AWS Data Engineer - Airflow, glue, Phyton, Redshift, Spark, Devo..."
Cloud Data Lead (Data Engineer),On Time Solutions,"Hybrid - Bangalore Rural, Bengaluru",8-12 Yrs,24 Days Ago,Immediate Hiring for Cloud Data Lead_Bangalore 7-9 years Working Experience NP : Within...
Sr. Associate - Data Science,Air India Express,Gurugram,2-5 Yrs,7 Days Ago,"Bachelor or Masters in computer science, Statistics, Mathematics, or related fieldPrefe..."
Lead Data Engineer,Decimal Point Analytics,Gurugram,2-10 Yrs,30+ Days Ago,"Experience with setting up and maintaining Data warehouse (Google BigQuery, Redshift, S..."
Data Engineer - Data Lake,Leading Client,Mumbai,3-5 Yrs,19 Days Ago,"master data) from enterprise systems e.g., SFA, CRM, SFDC, etcImplement data catalog, d..."
AM/DM - Data Engineer,Leading Automobile Industry,Gurugram,2-6 Yrs,27 Days Ago,Skill Set Required: . The position exists is to develop and deliver use cases based on ...
Tableau Data Engineer/Tableau Module Lead,A leading Global leader in Data Migration,Pune,3-8 Yrs,20 Days Ago,Role   We are seeking skilled Tableau engineers to join our team for a project involvin...
Lead Data Engineer,Nitor,Hybrid - Pune,6-8 Yrs,5 Days Ago,"Job Description:-SQL, Python, Datawarehouse concepts.-Strong experience working on Data..."
Lead Azure Data Engineer,Wavelabs Technologies,Hyderabad,7-10 Yrs,5 Days Ago,Experience: 7 -10 Years Working Days: 5 DaysLocation:HyderabadNoticePeriod: Immediate o...
Azure Lead Data Engineer,Accion Labs,Hybrid - Pune,7-12 Yrs,7 Days Ago,Fully conversant with big-data processing approaches and schema-on-read methodologies ....
Lead Data Engineer,Avalara Technologies,Hybrid - Pune,10-14 Yrs,7 Days Ago,Preferred Qualifications: . AWS Certifications or equivalent experience Certification i...
Data Engineer,Leading Client,Mumbai,3-6 Yrs,10 Days Ago,Previous experience working in a software engineering team.Building and operating highl...
Data Engineer,Leading Client,Chennai,6-10 Yrs,10 Days Ago,"As a Data Engineer at Chola MS General Insurance, one should be responsible for maintai..."
Lead Data Engineer,Investment banking,Hybrid - Hyderabad,7-10 Yrs,17 Days Ago,"Role & responsibilities  Proficiency in programming languages such as Python, Java, C#,..."
DATA Engineer - BI,Leading Client,Hyderabad,3-6 Yrs,18 Days Ago,"Experience with cloud service providers Glue, step function, lambda, S3, Redshift6 year..."
Data Engineering Lead,Alp Consulting Ltd,Pune,6-9 Yrs,30+ Days Ago,Provide coaching and mentoring to others within the product team . What Skills You Need...
Lead Engineer - Data,Dunnhumby,Gurugram,10-20 Yrs,18 Days Ago,Lead the design and development of PnP data ingestion product (datahub).   Assist and...
Sr. Data Engineer (Client: Microsoft),Qylis Cloud Data & Cyber Security Services,Hyderabad,5-9 Yrs,14 Days Ago,Optional) Experience with Trino and / or Apache Airflow is a plus. .
Senior Data Engineer,Xoom,Chennai,6-8 Yrs,11 Days Ago,Good track record of over-achieving engineering and platform delivery and scaling targe...
Senior Data (ML) Engineer,Aktana,Pune,3-6 Yrs,11 Days Ago,Aktana is looking for a Sr. Data Engineer that is responsible for ensuring that Aktana...
Senior Azure Data Engineer - Immediate Joiners - Remote Opportunity,Proarch It Solutions,Remote,5-10 Yrs,11 Days Ago,"Experience with source control, version control and moving data artifacts from Dev to T..."
Senior Data Engineer,Criticalriver,Hyderabad,5-8 Yrs,12 Days Ago,". Hands-on experience with cloud platforms such as AWS or Azure, including . services l..."
Senior Data Engineer,Saras Analytics,Hyderabad,3-8 Yrs,13 Days Ago,. We areseeking a seasoned and proficient Senior Python Data Engineer with substantiale...
Senior Azure Data Engineer,Proarch Technology Services,Hyderabad,5-8 Yrs,15 Days Ago,ProArch is hiring a skilled Azure Data Engineer to join our team. As an Azure Data Eng...
Data Associates,Ignitho,Chennai,0-1 Yrs,30+ Days Ago,"Bachelor s degree in computer science, Statistics, Mathematics, or related field master..."
Senior Data Warehouse Engineer,Apps Associates,Hyderabad,3-5 Yrs,14 Days Ago,"Data Warehouse Architecture: Design, implement, and maintain robust, scalable, and effi..."
Senior Data Engineer with Python/Pyspark & SQL,Nielseniq India,Hybrid - Chennai,6-10 Yrs,13 Days Ago,Hands-on must experience in developing and maintaining ETL / ELT preferably using Talen...
Senior Data Engineer,Pattern Technologies,Hybrid - Pune,7-9 Yrs,12 Days Ago,Overall experience should be more than 7 + years . 3+ years of experience working with ...
Senior Data Engineer - Pune - Rudder Analytics,Rudder Analytics,Remote,3-6 Yrs,5 Days Ago,"Rudder Analytics is looking for Data Engineers (Data ETL / Talend/DB / Cloud) at Pune, ..."
Senior Data Engineer,Active resource consultancy,"Mumbai(Malad), Mumbai Suburban, Mumbai (All Areas)",4-6 Yrs,7 Days Ago,"IMMEDIATE JOINERS ONLY Python, SQL and Bash, Kafka , Apache Flink, Apache Spark, Git, C..."
Senior Data Engineer,Evnek,Pune,5-7 Yrs,10 Days Ago,"Design, develop, and implement data solutions using Azure Data Stack components .Write ..."
Senior Data Engineer with Python & Azure Databricks,Nielseniq India,Chennai,6-11 Yrs,10 Days Ago,. Hands-on must experience in developing and maintaining ETL / ELT preferably using Tal...
Senior Data Engineer,Evnek,Pune,5-8 Yrs,10 Days Ago,"Design, develop, and implement data solutions using Azure Data Stack components .Write ..."
Senior Data Engineer,Anchanto Services,Pune,5-10 Yrs,10 Days Ago,Knowledge of eCommerce marketplaces would be preferred . well-organized and must be abl...
Senior Big Data Engineer,"MUTUAL MOBILE, INC.",Hyderabad,8-13 Yrs,11 Days Ago,"Web services technologies (HTTP, SOAP, REST, XML, JSON) . AWS cloud services: EC2, S3, ..."
Senior Data Engineer,Evnek,Pune,5-10 Yrs,11 Days Ago,"Design, develop, and implement data solutions using Azure Data Stack components .Write ..."
Senior Data Engineer,TA Digital,Hyderabad,5-8 Yrs,11 Days Ago,4) Data Warehousing: Experience with Redshift or BigQueryThe ideal candidate will have ...
Senior Data Engineer,Credera,Hyderabad,5-8 Yrs,12 Days Ago,4) Data Warehousing: Experience with Redshift or BigQueryPreferred Skills . 1) AI Frame...
Senior Data Engineer,Ewave,Pune,4-10 Yrs,12 Days Ago,Experience  : 4 to 10 years        Mandatory Skill Set:      Skill Combo1:     Proven...
Senior Data Engineer,Decision Point,"Chennai, Gurugram",3-5 Yrs,13 Days Ago,"Certification in cloud platformslike Azure, AWS, Google will be considered a very good ..."
Sr. Data Engineer,Providence College Of Engineering,Hyderabad,3-5 Yrs,12 Days Ago,"Candidate should be highly collaborative, capable of enabling partnership channel to cr..."
Sr. AWS Data Engineer,Bitwise Solutions,"Mumbai, Pune",3-6 Yrs,12 Days Ago,Knowledge of BI tools . * Experience in on premise to Cloud migration projects . * Hand...
Sr Data/ML Engineer,SS&amp;amp;C GlobeOp,Hyderabad,3-7 Yrs,13 Days Ago,Bachelor s degree in engineering preferably in Computer Science OR a related area with ...
Sr. Data warehouse Engineer,Liquiloans,Mumbai(Andheri East +1),6-11 Yrs,12 Days Ago,"Proven experience with data warehouse platforms such as Snowflake, Amazon Redshift, Goo..."
Senior Data Engineer,Credera,Hybrid - Hyderabad,4-9 Yrs,13 Days Ago,The ideal candidate will have 5-8 years of relevant experience and will be proficient i...
"Senior Data Engineer, Mumbai",Partners Group,Mumbai,7-8 Yrs,13 Days Ago,"Bachelor s or master s degree in Computer Science, Information Technology, Engineering ..."
Senior Data Engineer,The Digital Group Infotech,Pune,4-8 Yrs,10 Days Ago,- Should have minimum 5 yrsexperience in Data Engineering. . - Minimum 4-5 yrsof experi...
Sr Data Engineer,Apexon,Pune,3-7 Yrs,13 Days Ago,"Bachelor s or master s degree in computer science, Computer Engineering, or a similar f..."
Senior Data Engineer,Cornerstone India,Hyderabad,3-7 Yrs,13 Days Ago,Closely works with the Product team to gather requirements and convert them into the ...
Data Engineer,Paradigm Inc,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-5 Yrs,30+ Days Ago,Integrate data feeds from various healthcare data providers   Collaborate closely wit...
Data Engineer,Sapaad Software,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,30+ Days Ago,"Build the infrastructure required for optimal extraction, transformation, and loading o..."
Data Engineer,Fortune India 500 IT Services Firm,"Hybrid - Hyderabad, Pune, Bengaluru",5-8 Yrs,18 Days Ago,Experience in developing and maintaining data security policies and proceduresThe candi...
Big data engineer,Coders Brain Pvt Ltd,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-5 Yrs,30+ Days Ago,A data engineer is in charge of the design and development of data pipelines . They ar...
Data Engineer(Finapp),Saasvaap Techies,"Mumbai, Delhi / NCR, Bengaluru",3-6 Yrs,25 Days Ago,Collaborate with IT operations and infrastructure teams to deploy and maintain data eng...
Data Engineer,Appsierra Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-8 Yrs,30+ Days Ago,Build and maintain real-time and batch data pipelines across the advanced analytics . p...
Data Engineer,Forward Eye Technologies,"Mumbai, Delhi / NCR, Bengaluru",4-6 Yrs,28 Days Ago,"Bachelors degree in Computer Science, Engineering, or a related field"
Data Engineer,phData,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-5 Yrs,30+ Days Ago,4-year Bachelors degree in Computer Science or a related field Required Experience: . A...
Data Engineer,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-10 Yrs,30+ Days Ago,Response Informatics is looking for Data Engineer to join our dynamic team and embark o...
Data Engineer,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-7 Yrs,30+ Days Ago,Response Informatics is looking for Data Engineer to join our dynamic team and embark ...
Data Engineer(Spark+Java+Python),Wissen Technology,"Mumbai, Bengaluru",3-7 Yrs,30+ Days Ago,"o Good understanding of data warehousing and data management concepts including OLTP, O..."
Data Engineer-Python,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-10 Yrs,30+ Days Ago,"Azure experience is a plus, but not mandatory"
Data Engineer,Jet2 Travel Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,30+ Days Ago,Experience in the design and implementation of API s would be beneficial as would exper...
Data Engineer,Rainsoft Global,"Hyderabad, Chennai, Bengaluru",4-9 Yrs,19 Days Ago,"Data Engineer Requirements: Bachelors degree in data engineering, big data analytics, c..."
Data Engineer: Data Platforms,IBM,Hyderabad,3-5 Yrs,21 Days Ago,Re - write some Hive queries to Spark SQL to reduce the overall batch time . Required T...
Data Engineer: Data Platforms-AWS,IBM,Kochi,4-6 Yrs,21 Days Ago,Re - write some Hive queries to Spark SQL to reduce the overall batch time . Required T...
Data Engineer (NXP),Norstella,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-12 Yrs,21 Days Ago,6+ years of experience working in cloud technology especially AWS stack . Aws data stac...
Data Engineer: Data Platforms,IBM,Mumbai,2-5 Yrs,21 Days Ago,Required Technical and Professional Expertise . Must have 5+ years exp in Big Data -Had...
Data Engineer,Inchcape Shipping Services,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-13 Yrs,30+ Days Ago,"Experience with Alteryx, Redshift, and Tableau is desirable . Certified in any of the A..."
Data Engineer,Tekpillar Services Pvt Ltd.,Bengaluru,4-7 Yrs,23 Days Ago,Requirements: . 3-6 years of experience in data engineering or related fieldsExperience...
Data Engineer,Magna International,Bengaluru,3-6 Yrs,30+ Days Ago,"Who we are looking for . Bachelors degree in Computer Science, Engineering, or a relate..."
Big Data Engineer,Ceresight,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8 Yrs,30+ Days Ago,"A good understanding of distributed computing principles, management of Hadoop cluster,..."
Data Science Engineer,Cognisure,"Pune, Bengaluru",7-10 Yrs,30+ Days Ago,"Proven experience as a Data Engineer, preferably in an AI / ML-focused roleRelevant US ..."
Data Engineer,Xebia IT Architects,"Pune, Gurugram, Bengaluru",5-8 Yrs,24 Days Ago,"Role & responsibilities University or advanced degree in engineering, computer science,..."
Data Engineer,Flam,Bengaluru,4-7 Yrs,30+ Days Ago,Flam is looking for Data Engineer to join our dynamic team and embark on a rewarding ca...
Data Engineer: Data Platforms,IBM,Mumbai,5-8 Yrs,24 Days Ago,Required Technical and Professional Expertise . Must have 5+ years exp in Big Data -Had...
Data Engineers,Intone Networks,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,25 Days Ago,Develop analytical tools and programsYou will use various methods to transform raw data...
Data Engineer,Bitwise Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,25 Days Ago,"Qualifications: Bachelors or Masters degree in Computer Science, Engineering, or a rela..."
Data Engineer,Criticalriver,"Hybrid - Hyderabad, Bengaluru",3-8 Yrs,25 Days Ago,"Hands-on experience with cloud platforms such as AWS or Azure, including services like ..."
Machine Learning Engineer - Big Data Technologies,Gloify,Bengaluru,3-4 Yrs,28 Days Ago,"Bachelors or Masters degree in Computer Science, Data Science, Machine Learning, Statis..."
Data Engineer: Data Platforms-AWS,IBM,Pune,2-6 Yrs,29 Days Ago,Re - write some Hive queries to Spark SQL to reduce the overall batch time . Required T...
Data Engineer,Affine Analytics,Chennai(Parry's Corner),3-5 Yrs,Just Now,"Understand the client requirement and able to design, develop from scratch and deliver ..."
Data Engineer,Numadic Iot,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,30+ Days Ago,Apply advanced predictive modeling and statistical...
